pattern,lead,model,RMSE,MAE,F1,CSI,keep_frac,last_month_keep_frac,voxel_any_obs_frac
sensor,2,st_transformer,6.252,4.871,0.692,0.528,0.2,0.2,0.2
station,2,persist_unmasked,14.815,12.987,0.357,0.217,0.0889,0.0889,0.0889
station,2,persist_locf,6.69,4.938,0.696,0.534,0.0889,0.0889,0.0889
station,2,linear_time,6.69,4.938,0.696,0.534,0.0889,0.0889,0.0889
station,2,spatial_linear,18.673,14.934,0.172,0.094,0.0889,0.0889,0.0889
station,2,climatology,5.228,4.137,0.719,0.561,0.0889,0.0889,0.0889
station,2,st_transformer,6.32,4.93,0.688,0.525,0.0889,0.0889,0.0889
mixed,2,persist_unmasked,14.815,12.987,0.357,0.217,0.2001,0.2001,0.2001
mixed,2,persist_locf,8.02,5.838,0.646,0.477,0.2001,0.2001,0.2001
mixed,2,linear_time,8.02,5.838,0.646,0.477,0.2001,0.2001,0.2001
mixed,2,spatial_linear,17.904,14.6,0.199,0.111,0.2001,0.2001,0.2001
mixed,2,climatology,5.228,4.137,0.719,0.561,0.2001,0.2001,0.2001
mixed,2,st_transformer,6.259,4.88,0.688,0.525,0.2001,0.2001,0.2001
argo,2,persist_unmasked,14.815,12.987,0.357,0.217,0.0778,0.0778,0.0778
argo,2,persist_locf,6.374,4.781,0.715,0.556,0.0778,0.0778,0.0778
argo,2,linear_time,6.374,4.781,0.715,0.556,0.0778,0.0778,0.0778
argo,2,spatial_linear,19.317,15.572,0.01,0.005,0.0778,0.0778,0.0778
argo,2,climatology,5.228,4.137,0.719,0.561,0.0778,0.0778,0.0778
argo,2,st_transformer,6.309,4.924,0.685,0.521,0.0778,0.0778,0.0778
none,3,persist_unmasked,20.319,17.959,0.235,0.133,1.0,1.0,1.0
none,3,persist_locf,20.319,17.959,0.235,0.133,1.0,1.0,1.0
none,3,linear_time,20.319,17.959,0.235,0.133,1.0,1.0,1.0
none,3,spatial_linear,20.319,17.959,0.235,0.133,1.0,1.0,1.0
none,3,climatology,5.206,4.122,0.7,0.539,1.0,1.0,1.0
none,3,st_transformer,9.81,7.504,0.537,0.367,1.0,1.0,1.0
point,3,persist_unmasked,20.319,17.959,0.235,0.133,0.2414,0.2414,0.2414
point,3,persist_locf,10.96,7.463,0.573,0.401,0.2414,0.2414,0.2414
point,3,linear_time,10.96,7.463,0.573,0.401,0.2414,0.2414,0.2414
point,3,spatial_linear,22.005,18.83,0.151,0.082,0.2414,0.2414,0.2414
point,3,climatology,5.206,4.122,0.7,0.539,0.2414,0.2414,0.2414
point,3,st_transformer,9.959,7.649,0.528,0.359,0.2414,0.2414,0.2414
block,3,persist_unmasked,20.319,17.959,0.235,0.133,0.2667,0.2667,0.2667
block,3,persist_locf,11.094,7.66,0.606,0.435,0.2667,0.2667,0.2667
block,3,linear_time,11.094,7.66,0.606,0.435,0.2667,0.2667,0.2667
block,3,spatial_linear,23.066,19.584,0.078,0.041,0.2667,0.2667,0.2667
block,3,climatology,5.206,4.122,0.7,0.539,0.2667,0.2667,0.2667
block,3,st_transformer,9.954,7.64,0.53,0.361,0.2667,0.2667,0.2667
block_time,3,persist_unmasked,20.319,17.959,0.235,0.133,0.45,0.9667,1.0
block_time,3,persist_locf,20.21,17.764,0.242,0.138,0.45,0.9667,1.0
block_time,3,linear_time,20.21,17.764,0.242,0.138,0.45,0.9667,1.0
block_time,3,spatial_linear,20.21,17.764,0.242,0.138,0.45,0.9667,1.0
block_time,3,climatology,5.206,4.122,0.7,0.539,0.45,0.9667,1.0
block_time,3,st_transformer,9.885,7.59,0.529,0.36,0.45,0.9667,1.0
sensor,3,persist_unmasked,20.319,17.959,0.235,0.133,0.2,0.2,0.2
sensor,3,persist_locf,10.199,6.906,0.605,0.433,0.2,0.2,0.2
sensor,3,linear_time,10.199,6.906,0.605,0.433,0.2,0.2,0.2
sensor,3,spatial_linear,10.199,6.906,0.605,0.433,0.2,0.2,0.2
sensor,3,climatology,5.206,4.122,0.7,0.539,0.2,0.2,0.2
sensor,3,st_transformer,10.002,7.67,0.526,0.357,0.2,0.2,0.2
station,3,persist_unmasked,20.319,17.959,0.235,0.133,0.0889,0.0889,0.0889
station,3,persist_locf,7.807,5.334,0.661,0.493,0.0889,0.0889,0.0889
station,3,linear_time,7.807,5.334,0.661,0.493,0.0889,0.0889,0.0889
station,3,spatial_linear,23.084,19.417,0.109,0.058,0.0889,0.0889,0.0889
station,3,climatology,5.206,4.122,0.7,0.539,0.0889,0.0889,0.0889
station,3,st_transformer,9.944,7.636,0.531,0.361,0.0889,0.0889,0.0889
mixed,3,persist_unmasked,20.319,17.959,0.235,0.133,0.1985,0.1985,0.1985
mixed,3,persist_locf,10.245,6.89,0.6,0.429,0.1985,0.1985,0.1985
mixed,3,linear_time,10.245,6.89,0.6,0.429,0.1985,0.1985,0.1985
mixed,3,spatial_linear,22.294,18.995,0.142,0.076,0.1985,0.1985,0.1985
mixed,3,climatology,5.206,4.122,0.7,0.539,0.1985,0.1985,0.1985
mixed,3,st_transformer,9.934,7.629,0.533,0.363,0.1985,0.1985,0.1985
argo,3,persist_unmasked,20.319,17.959,0.235,0.133,0.0778,0.0778,0.0778
argo,3,persist_locf,7.371,5.148,0.697,0.535,0.0778,0.0778,0.0778
argo,3,linear_time,7.371,5.148,0.697,0.535,0.0778,0.0778,0.0778
argo,3,spatial_linear,23.608,19.915,0.0,0.0,0.0778,0.0778,0.0778
argo,3,climatology,5.206,4.122,0.7,0.539,0.0778,0.0778,0.0778
argo,3,st_transformer,9.928,7.624,0.534,0.365,0.0778,0.0778,0.0778
