keep_frac,last_month_keep_frac,voxel_any_obs_frac,n_test,n_water_voxels,pattern,lead
1.0,1.0,1.0,22,450,none,1
0.24868686497211456,0.24868686497211456,0.24868686497211456,22,450,point,1
0.2666666805744171,0.2666666805744171,0.2666666805744171,22,450,block,1
0.44999998807907104,0.7666666507720947,1.0,22,450,block_time,1
0.20000000298023224,0.20000000298023224,0.20000000298023224,22,450,sensor,1
0.08888889104127884,0.08888889104127884,0.08888889104127884,22,450,station,1
0.20474746823310852,0.20474746823310852,0.20474746823310852,22,450,mixed,1
0.07777778059244156,0.07777778059244156,0.07777778059244156,22,450,argo,1
1.0,1.0,1.0,22,450,none,2
0.24222221970558167,0.24222221970558167,0.24222221970558167,22,450,point,2
0.2666666805744171,0.2666666805744171,0.2666666805744171,22,450,block,2
0.44999998807907104,0.9333333373069763,1.0,22,450,block_time,2
0.20000000298023224,0.20000000298023224,0.20000000298023224,22,450,sensor,2
0.08888889104127884,0.08888889104127884,0.08888889104127884,22,450,station,2
0.20010100305080414,0.20010100305080414,0.20010100305080414,22,450,mixed,2
0.07777778059244156,0.07777778059244156,0.07777778059244156,22,450,argo,2
1.0,1.0,1.0,22,450,none,3
0.2414141446352005,0.2414141446352005,0.2414141446352005,22,450,point,3
0.2666666805744171,0.2666666805744171,0.2666666805744171,22,450,block,3
0.44999998807907104,0.9666666388511658,1.0,22,450,block_time,3
0.20000000298023224,0.20000000298023224,0.20000000298023224,22,450,sensor,3
0.08888889104127884,0.08888889104127884,0.08888889104127884,22,450,station,3
0.1984848529100418,0.1984848529100418,0.1984848529100418,22,450,mixed,3
0.07777778059244156,0.07777778059244156,0.07777778059244156,22,450,argo,3
